"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.548082883E1,3.920915506E-1,1.254166362E0,-5.435472268E-1,1.422010068E0
6.549079883E1,7.224970957E-1,1.351567526E0,-1.155793390E0,1.919529940E0
6.550076883E1,1.897603474E-1,1.312841417E0,-7.582751119E-1,1.527921045E0
6.551073883E1,7.214930557E-2,1.863420505E0,8.247918677E-1,2.039074085E0
6.552070883E1,-2.917644397E-1,2.947295482E0,2.688083149E0,3.999683508E0
6.553067783E1,-4.856892472E-1,3.950085365E0,3.166152670E0,5.085625936E0
6.554064783E1,-3.674887329E-1,4.334794148E0,1.751776693E0,4.689798487E0
6.555061783E1,5.546985248E-1,4.079806429E0,-7.374625325E-1,4.182865278E0
6.556058783E1,1.496372506E0,2.931208622E0,-2.305985148E0,4.018542293E0
6.557055783E1,1.433747364E0,1.444548780E0,-2.877665083E0,3.524671476E0
6.558052683E1,1.669663074E0,1.009207787E0,-2.294780129E0,3.012024398E0
6.559049683E1,7.565931603E-1,1.279641511E0,2.838916755E-1,1.513443124E0
6.560046683E1,-3.189005636E-1,1.622691221E0,2.685023301E0,3.153438520E0
6.561043683E1,-4.634093821E-1,1.807309162E0,2.793158199E0,3.358994997E0
6.562040683E1,-5.981094964E-1,1.029470436E0,5.937321246E-1,1.330436839E0
6.563037683E1,-3.983249018E-1,8.828184664E-2,-1.258980374E0,1.323437945E0
6.564034583E1,-7.156494945E-2,-7.030931836E-1,-1.887085941E0,2.015081863E0
6.565031583E1,3.530519575E-1,-7.927985349E-1,-1.817851399E0,2.014387974E0
6.566028583E1,8.307694763E-2,5.424546745E-1,-2.235244364E0,2.301624691E0
6.567025583E1,-4.506259069E-1,1.241029422E0,-2.474954478E0,2.805105595E0
6.568022583E1,-1.240491478E0,-6.086518800E-1,-1.509732370E0,2.046599142E0
6.569019483E1,-4.936459190E-1,-7.503705534E-1,-1.008126637E0,1.350207975E0
6.570016483E1,2.923607826E-6,-5.375912529E-1,-1.678311691E0,1.762309418E0
6.571013483E1,2.121752831E-1,-8.056777583E-1,-2.462792269E0,2.599900144E0
6.572010483E1,3.795565090E-1,-4.924137644E-1,-2.835792587E0,2.903145545E0
6.573007483E1,5.142534073E-1,-1.666431464E0,-2.618055725E0,3.145737779E0
6.574004483E1,6.061941491E-1,-1.843059623E0,-2.391666738E0,3.079676916E0
6.575001383E1,8.054250124E-1,-1.684131278E0,-2.071063319E0,2.788245126E0
6.575998383E1,9.745310207E-1,-2.260053222E0,-2.026552559E0,3.188176054E0
6.576995321E1,1.060917492E0,-2.791379184E0,-2.027889233E0,3.609664585E0
6.577992321E1,1.281290572E0,-2.759843103E0,-2.040010511E0,3.663343059E0
6.578989321E1,1.259629269E0,-2.446961371E0,-2.234814593E0,3.545233718E0
6.579986221E1,1.468463015E0,-2.692688416E0,-2.369130984E0,3.875530435E0
6.580983221E1,1.136281378E0,-3.299142328E0,-2.368488960E0,4.217252117E0
6.581980221E1,2.555490518E-1,-3.431903067E0,-2.101212732E0,4.032165538E0
6.582977221E1,2.287167639E-2,-3.126489252E0,-1.525188316E0,3.478743675E0
6.583974221E1,2.731965333E-2,-2.628547384E0,-1.647152463E0,3.102115238E0
6.584971221E1,2.948138358E-1,-2.196858416E0,-1.827367158E0,2.872694350E0
6.585968121E1,2.356020065E-1,-2.077723444E0,-1.926607856E0,2.843283462E0
6.586965121E1,2.980328742E-1,-1.588032435E0,-1.714100744E0,2.355591639E0
6.587962121E1,1.726793879E-1,-1.264263626E0,-1.581652538E0,2.032192274E0
6.588959121E1,-1.393467504E-1,-1.484881704E0,-1.720178339E0,2.276687223E0
6.589956121E1,-3.358354157E-1,-1.756990363E0,-1.546625962E0,2.364709798E0
6.590953021E1,-5.790646765E-1,-1.715552900E0,-1.156607323E0,2.148529299E0
6.591950021E1,-5.858455463E-1,-1.575068866E0,-6.842429298E-1,1.814454552E0
6.592947021E1,-7.078175877E-1,-1.316664326E0,-4.561377847E-1,1.562905104E0
6.593944021E1,-3.894861044E-1,-1.144463533E0,-6.159462816E-1,1.356792551E0
6.594941021E1,-3.564067975E-1,-1.020440873E0,-7.768265730E-1,1.331084109E0
6.595937921E1,-4.324989536E-1,-6.236558354E-1,-3.738861716E-1,8.460453978E-1
6.596934921E1,-8.963913158E-2,9.228426576E-2,-1.370353460E-2,1.293806264E-1
6.597931921E1,-1.611795227E-1,9.096104085E-1,-3.095744008E-1,9.742721609E-1
6.598928921E1,-3.472566359E-1,1.769038843E0,-1.022518389E0,2.072590035E0
6.599925921E1,4.871110708E-2,2.670468997E0,-1.346564648E0,2.991155928E0
6.600922921E1,5.632646227E-1,3.668268866E0,-1.609495810E0,4.045236738E0
6.601919821E1,8.017806622E-1,4.247088836E0,-1.085281817E0,4.456282356E0
6.602916821E1,5.179208540E-1,3.627550026E0,3.634535694E-1,3.682317164E0
6.603913821E1,2.552062222E-1,2.480499977E0,9.888887125E-1,2.682519569E0
6.604910821E1,3.549714522E-1,1.398829985E0,1.154441514E0,1.848097743E0
6.605907821E1,7.702993993E-2,5.321135813E-1,1.390442154E0,1.490774248E0
6.606904821E1,-3.885119948E-1,5.633149087E-2,1.789654956E0,1.832206230E0
6.607901721E1,-4.289711092E-1,5.306190330E-1,2.544448636E0,2.634348426E0
6.608898721E1,-2.881297008E-1,1.101937611E0,2.599953330E0,2.838493005E0
6.609895721E1,-8.889746709E-2,1.587445375E0,5.157647663E-1,1.671495998E0
6.610892721E1,1.778484727E-1,1.641549661E0,-1.288327550E0,2.094302568E0
6.611889721E1,-1.007119308E-1,8.055977976E-1,-4.119427747E-1,9.103996673E-1
6.612886621E1,-4.627556634E-1,1.831950206E-1,1.532772739E0,1.611550647E0
6.613883621E1,-9.173501486E-1,1.121078471E0,2.576781399E0,2.956036301E0
6.614880621E1,-1.007918037E0,1.552020603E0,2.006000181E0,2.729231293E0
6.615877621E1,-9.299850315E-1,2.174308190E0,2.259709699E0,3.270898376E0
6.616874621E1,-2.977685069E-1,3.244405957E0,1.961416331E0,3.802892337E0
6.617871521E1,-4.869817011E-2,2.496368151E0,1.323845292E0,2.826091260E0
6.618868521E1,-2.772903152E-2,1.478847962E0,1.543080211E-2,1.479188394E0
6.619865521E1,-1.216308564E-2,7.010776484E-1,-7.407276177E-1,1.019968241E0
6.620862521E1,-1.702571788E-1,6.280927026E-1,-7.468449748E-1,9.905883940E-1
6.621859521E1,-1.041602531E-1,7.865569246E-1,-5.502101290E-1,9.655321538E-1
6.622856521E1,-2.275819655E-1,8.309945941E-2,-8.664404154E-1,8.996766445E-1
6.623853421E1,-3.230034086E-1,1.265760221E0,-4.331477022E-1,1.376261992E0
6.624850421E1,-5.660850272E-1,1.518221943E0,-1.069192618E-1,1.623847854E0
6.625847421E1,-2.418411317E-1,8.712848336E-1,-5.344062746E-2,9.058036735E-1
6.626844421E1,2.847586714E-1,-1.294047296E-2,-1.771355510E-2,2.856023928E-1
6.627841421E1,7.592720622E-1,-6.603938913E-1,4.102646238E-1,1.086706592E0
6.628838321E1,1.006183607E0,-8.048388290E-1,1.529535720E0,1.999912626E0
6.629835321E1,5.479402399E-1,-3.719109821E-1,2.177515973E0,2.275990355E0
6.630832321E1,-2.644363810E-1,-1.394648641E-1,1.624647700E0,1.651925300E0
6.631829321E1,-6.798405612E-1,-4.520260227E-1,-9.479681432E-2,8.218863363E-1
6.632826321E1,-4.678253455E-1,-9.897348046E-1,-2.255827732E0,2.507427824E0
6.633823321E1,1.328515171E-1,-1.223510579E0,-3.095265706E0,3.330960440E0
6.634820221E1,5.123039456E-1,-8.091499811E-1,-1.353208839E0,1.657815788E0
6.635817221E1,1.032862990E0,1.504903740E-1,3.918985194E-1,1.114916032E0
6.636814221E1,1.208761270E0,7.401931822E-1,1.006470121E0,1.738381966E0
6.637811221E1,1.096131033E0,4.282108980E-1,3.826628423E-1,1.237456531E0
6.638808221E1,1.116267528E0,-4.903621227E-1,-9.368280280E-1,1.537580879E0
6.639805121E1,1.405607931E0,-1.099118668E0,-1.455576044E0,2.302715163E0
6.640802121E1,1.970625111E0,-4.281360537E-1,-1.203283891E0,2.348309164E0
6.641799121E1,2.381657913E0,9.254130936E-1,-6.133436859E-1,2.627712747E0
6.642796121E1,2.512433668E0,1.908566857E0,8.149281996E-1,3.258689668E0
6.643793121E1,2.495016274E0,2.706633441E0,6.398309880E-1,3.736355776E0
6.644790021E1,2.095056199E0,2.162125517E0,6.690635580E-1,3.084103317E0
6.645787021E1,1.401431119E0,1.102967890E0,5.590856177E-1,1.868990122E0
6.646784021E1,4.815813589E-1,4.368945980E-1,2.489978313E-1,6.962739511E-1
6.647781021E1,-4.966341385E-1,-1.229961812E-2,4.619943559E-2,4.989299911E-1
6.648778021E1,-1.160572612E0,-2.866112155E-1,4.589771926E-2,1.196319931E0
6.649775021E1,-1.199117750E0,-4.978816420E-1,-4.704318881E-2,1.299223833E0
6.650771921E1,-7.272930551E-1,-8.328206795E-1,-5.670682365E-1,1.242622975E0
6.651768921E1,-4.355491537E-1,-1.131202925E0,-6.576609027E-1,1.379072509E0
6.652765921E1,-6.752370483E-1,-1.008762814E0,-7.186502856E-1,1.410675625E0
6.653762921E1,-9.246818992E-1,-7.456614983E-1,-5.711308819E-1,1.318043311E0
6.654759921E1,-8.097311944E-1,-4.949065787E-1,-2.311451125E-1,9.767421317E-1
6.655756821E1,-6.732323304E-1,-1.557376653E-1,-2.722440219E-1,7.427064013E-1
6.656753821E1,-4.431584278E-1,-9.570313275E-2,-5.580249327E-1,7.189856099E-1
6.657750821E1,-3.800646320E-1,-3.464475274E-3,-4.960584801E-1,6.249281101E-1
6.658747821E1,-2.382582504E-1,2.734374386E-1,-3.827008492E-1,5.272522799E-1
6.659744821E1,-1.396051973E-1,8.364798671E-1,3.227563637E-1,9.073917839E-1
6.660741721E1,2.528043687E-2,1.474736785E0,1.048639070E0,1.809732462E0
6.661738721E1,5.713156539E-1,2.066227672E0,1.334854429E0,2.525378133E0
6.662735721E1,1.284127349E0,1.970058516E0,8.185651678E-1,2.490012557E0
6.663732721E1,1.723021402E0,1.069916503E0,-1.938118100E-2,2.028275057E0
6.664729721E1,1.208641256E0,-3.568047005E-1,-9.518413389E-1,1.579279967E0
6.665726621E1,1.291065216E-1,-1.825027687E0,-1.629290389E0,2.449894227E0
6.666723621E1,-6.765272364E-1,-2.783065320E0,-1.805717257E0,3.385816961E0
6.667720621E1,-6.999358334E-1,-2.992386285E0,-1.651421515E0,3.488764663E0
6.668717621E1,-3.311351314E-2,-2.419361490E0,-4.855633128E-1,2.467828652E0
6.669714621E1,8.495153573E-1,-1.434439529E0,1.093082587E0,1.993520164E0
6.670711621E1,1.094313572E0,-7.102203548E-1,1.707313880E0,2.148687002E0
6.671708521E1,3.063791898E-1,-5.669372588E-1,1.349899315E0,1.495832285E0
6.672705521E1,-1.059019779E0,-8.522907382E-1,3.182370508E-1,1.396136531E0
6.673702521E1,-1.943954937E0,-1.948058367E0,-6.793400395E-1,2.834677246E0
6.674699521E1,-2.119593455E0,-3.542477131E0,-1.817769538E0,4.510665885E0
6.675696521E1,-2.079866010E0,-4.231803045E0,-2.607346550E0,5.388158838E0
6.676693446E1,-1.923427848E0,-3.791628744E0,-2.948151514E0,5.173743381E0
6.677690446E1,-1.198601368E0,-2.322381325E0,-2.884127426E0,3.892080584E0
6.678687446E1,-4.183861139E-1,-6.220016581E-1,-1.898007370E0,2.040677579E0
6.679684446E1,7.541115289E-1,1.099275373E0,-5.550083542E-1,1.443996128E0
6.680681446E1,1.809281428E0,2.710994879E0,9.591749167E-1,3.397500410E0
6.681678346E1,2.231007179E0,3.446045435E0,2.052611845E0,4.589753540E0
6.682675346E1,2.119828951E0,2.902135681E0,1.396422687E0,3.855653331E0
6.683672346E1,1.920727311E0,1.437624507E0,1.705591875E-1,2.405212686E0
6.684669346E1,1.009178989E0,-3.503406036E-1,-4.998118079E-1,1.179403499E0
6.685666346E1,-5.929860198E-1,-2.626810176E0,1.163601762E-1,2.695422752E0
6.686663246E1,-1.010573404E0,-3.621391153E0,1.531012727E0,4.059523674E0
6.687660246E1,-7.412543057E-1,-2.825156794E0,2.744485391E0,4.007888337E0
6.688657246E1,-3.264702593E-1,-3.002641717E-1,3.300987124E0,3.330654200E0
6.689654246E1,4.373855083E-1,3.176320101E0,3.549718323E0,4.783389556E0
6.690651246E1,1.650293880E0,4.570267954E0,2.497979643E0,5.463581367E0
6.691648246E1,1.433721783E0,3.953727595E0,1.700894222E0,4.536580342E0
6.692645146E1,6.522434574E-1,1.354667427E0,1.291188008E0,1.981845563E0
6.693642146E1,2.924782751E-1,7.531827718E-2,7.266796821E-1,7.869432919E-1
6.694639146E1,1.408349764E-1,4.209466097E-1,5.631652200E-1,7.170673635E-1
6.695636146E1,5.707631651E-2,1.646903957E0,3.868956417E-1,1.692701564E0
6.696633146E1,2.574921546E-1,3.083390888E0,3.418270576E-1,3.112948331E0
6.697630046E1,2.679338931E-1,2.577476341E0,-1.650505257E-1,2.596615978E0
6.698627046E1,6.378700512E-1,5.759869945E-1,-7.317340153E-1,1.128748816E0
6.699624046E1,4.193851838E-1,5.765576828E-1,-1.182091827E0,1.380450572E0
6.700621046E1,1.931129947E-1,9.937284529E-2,-1.684513832E0,1.698456488E0
6.701618046E1,1.428703556E-1,6.325120282E-1,-1.882918046E0,1.991447657E0
6.702614946E1,1.650814428E-1,3.235147476E-2,-2.505561728E0,2.511202515E0
6.703611946E1,8.265645973E-2,-3.926990032E-1,-2.175675269E0,2.212375980E0
6.704608946E1,2.968257896E-1,-2.655863822E-1,-1.299521459E0,1.359190089E0
6.705605946E1,8.236422320E-1,-6.629757294E-1,-7.732170868E-1,1.309880913E0
6.706602946E1,1.261604751E0,-6.760220370E-1,-8.053101146E-1,1.642308352E0
6.707599846E1,1.129182858E0,-4.755210122E-1,-1.000415329E0,1.581772736E0
6.708596846E1,1.179395749E0,-4.713727051E-1,-1.278029433E0,1.801811809E0
6.709593846E1,1.208841889E0,-1.612325862E0,-1.620234806E0,2.585740556E0
6.710590846E1,9.177902978E-1,-2.386286715E-1,-1.111139959E0,1.460792484E0
6.711587846E1,1.026630443E0,-9.104956770E-1,-7.729486996E-1,1.574935598E0
6.712584846E1,1.058739770E0,1.628461254E-1,-5.010613579E-1,1.182586676E0
6.713581746E1,7.467801438E-1,-1.096130156E0,6.588057876E-2,1.327976714E0
6.714578746E1,-7.300943099E-2,-3.118700176E-1,9.668920720E-1,1.018564462E0
6.715575746E1,-7.110131641E-1,7.078045776E-1,1.095270615E0,1.485309651E0
6.716572746E1,-5.837898845E-1,8.366219544E-1,2.745443165E-2,1.020539401E0
6.717569746E1,1.049765244E-1,1.639606047E0,-7.962182790E-1,1.825730431E0
6.718566646E1,3.506932638E-1,8.717890097E-1,-1.205152661E0,1.528199849E0
6.719563646E1,1.745426763E-1,1.806200530E-1,-1.060257488E0,1.089602997E0
6.720560646E1,-1.340839639E-3,-5.794181406E-2,-2.735619843E-1,2.796340661E-1
6.721557646E1,-1.129879408E-2,1.069607770E0,4.611201972E-1,1.164826288E0
6.722554646E1,-2.077454326E-1,1.317833038E0,9.065312648E-1,1.612960327E0
6.723551546E1,-5.536649564E-1,4.750576204E-1,1.031250036E0,1.263210696E0
6.724548546E1,-5.921290373E-1,6.525165224E-1,9.428682017E-1,1.290501862E0
6.725545546E1,-2.109711222E-1,8.346151900E-1,6.940709299E-1,1.105814535E0
6.726542546E1,-9.025447793E-2,-5.324419025E-1,-2.001846904E-1,5.759463174E-1
6.727539546E1,-2.178600924E-1,-3.027289192E-1,-6.683659852E-1,7.653893836E-1
6.728536446E1,-4.363773387E-1,3.839572696E-1,-6.139681685E-1,8.454615772E-1
6.729533446E1,-6.008057206E-1,-5.478801598E-1,-1.086394542E0,1.356979471E0
6.730530446E1,-6.476368017E-1,-1.062798542E0,-1.673235723E0,2.085351757E0
6.731527446E1,-6.189927540E-1,-8.853836399E-1,-1.821166770E0,2.117476003E0
6.732524446E1,-7.124547221E-1,-8.567205888E-1,-1.673289517E0,2.010338207E0
6.733521346E1,-7.611493839E-1,-1.797280310E0,-2.133113971E0,2.891321516E0
6.734518346E1,-5.605666443E-1,-1.991782091E0,-2.588498050E0,3.313872812E0
6.735515346E1,-6.062400497E-2,-2.380978466E0,-2.936709098E0,3.781136608E0
6.736512346E1,3.284171994E-1,-3.150380976E0,-3.130341983E0,4.453290814E0
6.737509346E1,4.550961033E-2,-4.026556713E0,-2.801042585E0,4.905208420E0
6.738506246E1,-2.769043989E-1,-4.691040731E0,-2.520865645E0,5.332663761E0
6.739503246E1,-9.104728729E-2,-4.861798432E0,-1.859899896E0,5.206207951E0
6.740500246E1,1.871576786E-1,-4.091091555E0,-1.337195655E0,4.308149292E0
6.741497246E1,9.715325685E-1,-3.770498368E0,-1.267386916E0,4.094728694E0
6.742494246E1,1.245438369E0,-2.813798870E0,-7.622687602E-1,3.170115846E0
6.743491146E1,1.116713524E0,-1.238544356E0,-1.821998245E-1,1.677569072E0
6.744488146E1,1.686634179E0,5.819955933E-1,9.041666508E-2,1.786513055E0
6.745485146E1,1.812468306E0,1.661904988E0,1.080529200E0,2.685984531E0
6.746482146E1,1.237187948E0,1.550848237E0,2.286153731E0,3.026923051E0
6.747479146E1,-6.528416276E-2,1.179588634E0,3.182534814E0,3.394734042E0
6.748476046E1,-7.798905140E-1,9.243524086E-1,2.281733821E0,2.582434088E0
6.749473046E1,-5.243929178E-1,3.065379417E-1,5.501697832E-1,8.195365961E-1
6.750470046E1,-1.569306435E-1,-2.304896396E-1,-5.908845305E-1,6.533737286E-1
6.751467046E1,3.607284746E-1,-7.557613939E-1,-1.155266556E0,1.426864090E0
6.752464046E1,5.892613435E-1,-9.644941288E-1,-1.067149601E0,1.554440776E0
6.753460946E1,5.548374693E-1,-5.203168237E-1,-1.080263152E0,1.321189877E0
6.754457946E1,1.921460845E-1,6.780840576E-1,-1.022390335E0,1.241772968E0
6.755454946E1,-1.758682401E-1,2.555073026E0,-4.242587650E-1,2.596020668E0
6.756451946E1,-2.262197104E-1,4.403692474E0,4.354403955E-1,4.430946976E0
6.757448946E1,2.665957578E-1,5.311579708E0,9.054998159E-2,5.319036717E0
6.758445946E1,1.109512240E0,4.811180840E0,-1.822676522E-1,4.940819768E0
6.759442846E1,1.759364917E0,2.934956687E0,-2.533534223E-1,3.431256858E0
6.760439846E1,1.534601163E0,6.053522962E-1,8.413792491E-2,1.651826663E0
6.761436846E1,3.117537311E-1,-8.022917819E-1,6.775940609E-1,1.095443382E0
6.762433846E1,-1.070203748E0,5.334800756E-1,1.050662207E0,1.591800278E0
6.763430846E1,-2.165665713E0,2.962115250E0,1.949043038E0,4.154877074E0
6.764427746E1,-2.498524604E0,5.138362961E0,2.718758812E0,6.327483591E0
6.765424746E1,-2.553794825E0,5.093003186E0,2.910121808E0,6.397605677E0
6.766421746E1,-1.894711149E0,3.813173395E0,1.912548226E0,4.667768460E0
6.767418746E1,-4.176422750E-1,2.158166367E0,1.178927314E-1,2.201364539E0
6.768415746E1,6.872622858E-1,4.574890763E-1,-1.130969621E0,1.400256401E0
6.769412646E1,9.513268570E-1,-1.384056995E0,-1.595312803E0,2.316389323E0
6.770409646E1,6.483601753E-1,-2.683542202E0,-1.329972589E0,3.064408059E0
6.771406646E1,-3.830229211E-1,-2.847239681E0,-9.411818647E-1,3.023128126E0
6.772403646E1,-1.201633807E0,-2.281549049E0,-3.932644290E-1,2.608456781E0
6.773400646E1,-7.140249918E-1,-1.332965779E0,-3.128733999E-1,1.544188855E0
6.774397546E1,-3.683888387E-2,-8.746557534E-1,-3.285141170E-1,9.350408095E-1
6.775394546E1,1.712407902E-1,-4.469740283E-1,-1.256157339E-2,4.788183198E-1
6.776391546E1,-4.586686789E-1,2.190302664E-1,8.981311548E-1,1.031983908E0
6.777388571E1,-3.708314034E-1,1.138245896E0,1.379033652E0,1.826158116E0
6.778385571E1,-2.935929006E-2,2.041707373E0,1.608234565E0,2.599201681E0
6.779382471E1,3.528477435E-1,2.546640757E0,1.944951156E0,3.223773515E0
6.780379471E1,-1.334508932E-1,2.916658410E0,2.249599278E0,3.685838078E0
6.781376471E1,-9.693416168E-1,3.015201536E0,1.739797502E0,3.613579779E0
6.782373471E1,-1.155676007E0,2.807955748E0,4.923963690E-1,3.076143153E0
6.783370471E1,-5.884027530E-1,2.089120106E0,-1.714655060E-1,2.177163530E0
6.784367371E1,3.406485513E-2,1.356576836E0,-5.589335901E-1,1.467606174E0
6.785364371E1,3.624576790E-1,8.175126690E-1,-8.427779031E-1,1.228811266E0
6.786361371E1,6.286094503E-1,9.687737060E-1,-1.000334052E0,1.527854885E0
6.787358371E1,1.054017266E0,1.394428201E0,-8.964711303E-1,1.964444678E0
6.788355371E1,1.235381889E0,1.844992420E0,-3.353085816E-1,2.245572819E0
6.789352271E1,8.621316022E-1,2.939021671E0,7.587230086E-1,3.155436561E0
6.790349271E1,1.496276173E-1,4.334968395E0,1.628018035E0,4.633010050E0
6.791346271E1,-4.493439049E-1,5.052425848E0,2.036471776E0,5.465906530E0
6.792343271E1,-5.869236998E-1,4.481837588E0,1.563829055E0,4.782981174E0
6.793340271E1,-1.658825114E-1,2.082233840E0,7.172335052E-1,2.208537677E0
6.794337171E1,1.588363972E-1,-2.979986680E-1,-4.173941338E-1,5.368892531E-1
6.795334171E1,3.831021874E-1,-1.364905025E0,-2.177496092E0,2.598311422E0
6.796331171E1,2.795595465E-1,-1.565296122E0,-3.159220212E0,3.536803335E0
6.797328171E1,4.525480329E-1,-5.527367109E-1,-2.595549207E0,2.692061159E0
6.798325171E1,5.003544295E-1,6.452943340E-1,-1.784724584E0,1.962651567E0
6.799322071E1,3.040291207E-1,1.409194175E0,-1.177609937E0,1.861458324E0
6.800319071E1,-6.465178639E-2,1.912698207E0,-1.151153625E0,2.233326880E0
6.801316071E1,3.139470217E-1,1.782361431E0,-1.375663902E0,2.273285326E0
6.802313071E1,2.992087492E-1,1.121293064E0,-1.643789729E0,2.012180083E0
6.803310071E1,-6.977380112E-2,-2.384494543E-1,-1.026628397E0,1.056263409E0
6.804306971E1,-6.333291766E-1,-7.373119667E-1,-1.090208681E0,1.460578567E0
6.805303971E1,-2.842040630E-1,5.046670434E-1,-1.598071520E0,1.699792151E0
6.806300971E1,3.418087851E-1,2.006363293E0,-1.947666603E0,2.817043150E0
6.807297971E1,4.647004473E-1,1.037070354E0,-2.114141511E0,2.400219938E0
6.808294971E1,2.803315982E-2,9.325081050E-1,-1.557864311E0,1.815846479E0
6.809291871E1,2.941237181E-2,-8.693520364E-1,-1.182892311E0,1.468288892E0
6.810288871E1,3.708744170E-1,2.960642628E-1,-8.925306916E-1,1.010847623E0
6.811285871E1,1.071894251E0,-1.155311872E-1,-4.876823437E-1,1.183274613E0
6.812282871E1,1.190948239E0,-1.429754009E0,3.424176264E-1,1.892037015E0
6.813279871E1,7.946463282E-1,1.010290691E-1,3.878937614E-1,8.900175447E-1
6.814276771E1,2.841591125E-1,-1.029108493E0,-6.561640155E-1,1.253140817E0
6.815273771E1,6.039165124E-2,-2.017758493E0,-1.590642632E0,2.570046784E0
6.816270771E1,1.626074859E-1,-1.230806150E0,-1.409594709E0,1.878372226E0
6.817267771E1,3.734474842E-1,-2.215405492E0,-1.626122367E0,2.773401967E0
6.818264771E1,7.388502230E-1,-2.603980015E0,-2.057648637E0,3.400077864E0
6.819261671E1,1.194868286E0,-2.618294291E0,-2.376085662E0,3.732151965E0
6.820258671E1,8.731280221E-1,-2.798462209E0,-2.468572242E0,3.832439457E0
6.821255671E1,5.004329284E-1,-3.304484052E0,-2.047093828E0,3.919265378E0
6.822252671E1,3.079523832E-2,-3.274891001E0,-1.702180025E0,3.690972264E0
6.823249671E1,-1.232515584E-1,-3.101013519E0,-1.787624218E0,3.581490770E0
6.824246571E1,7.565010667E-2,-2.809733886E0,-2.088913699E0,3.501983422E0
6.825243571E1,3.218838130E-1,-2.585321842E0,-2.125918388E0,3.362592335E0
6.826240571E1,3.656068066E-1,-2.416462148E0,-1.919216391E0,3.107466686E0
6.827237571E1,7.494516635E-1,-2.295080675E0,-1.459906492E0,2.821418095E0
6.828234571E1,7.427592328E-1,-2.233315367E0,-1.173563663E0,2.629950661E0
6.829231471E1,3.047011851E-1,-1.787475406E0,-9.369391251E-1,2.041020839E0
6.830228471E1,2.676046948E-1,-1.251905536E0,-1.208218356E0,1.760304332E0
6.831225471E1,4.241773425E-1,-5.789477322E-1,-9.698092479E-1,1.206497771E0
6.832222471E1,3.163365595E-1,-3.540109009E-1,-4.105230707E-1,6.276318414E-1
6.833219471E1,-2.201051308E-1,-3.955904514E-1,-2.931413859E-1,5.393236004E-1
6.834216371E1,-5.750929552E-1,-6.833249170E-1,-4.645279545E-1,1.006703069E0
6.835213371E1,-4.688228805E-1,-1.032709501E0,-6.936493456E-1,1.329448465E0
6.836210371E1,3.230124718E-1,-1.079605632E0,-1.079336368E0,1.560401350E0
6.837207371E1,6.360323444E-1,-1.232776662E0,-1.250165697E0,1.867401861E0
6.838204271E1,5.523478711E-1,-1.346018518E0,-1.274897665E0,1.934481346E0
6.839201271E1,7.325241204E-1,-1.200419925E0,-1.399079661E0,1.983689361E0
6.840198271E1,8.342954935E-1,-7.437143755E-1,-1.348943295E0,1.751801375E0
6.841195271E1,2.522354347E-1,-1.126699984E-2,-1.146006905E0,1.173491153E0
6.842192271E1,-2.680069833E-1,9.936232030E-1,-4.827940714E-1,1.136751920E0
6.843189171E1,-6.076096138E-1,2.176365241E0,2.303785425E-1,2.271305655E0
6.844186171E1,-4.862811316E-1,3.254488311E0,4.526429039E-1,3.321603394E0
6.845183171E1,-1.716469889E-1,3.756817346E0,5.479133427E-1,3.800440539E0
6.846180171E1,4.541836452E-1,3.915014935E0,3.807467097E-1,3.959620282E0
6.847177171E1,8.665635724E-1,3.257520093E0,5.673003709E-1,3.418215805E0
6.848174071E1,4.419574828E-1,2.116778605E0,3.143474829E-1,2.185152722E0
6.849171071E1,1.155859318E-1,1.488612812E0,2.860943216E-1,1.520255956E0
6.850168071E1,4.093577206E-2,1.646568326E0,6.728285801E-1,1.779202431E0
6.851165071E1,-1.357049583E-1,2.037337748E0,1.410096985E0,2.481437979E0
6.852162071E1,-3.290717221E-1,2.126444052E0,1.839521180E0,2.830881608E0
6.853158971E1,1.289959727E-1,2.446290257E0,1.770595372E0,3.022579023E0
6.854155971E1,7.210588999E-1,2.566994914E0,1.504047707E0,3.061298472E0
6.855152971E1,1.309348582E0,2.003771222E0,1.240580356E0,2.696021595E0
6.856149971E1,1.708343721E0,1.368109299E0,7.509356868E-1,2.313885418E0
6.857146971E1,1.847405712E0,2.022370046E0,7.096783179E-1,2.829581556E0
6.858143871E1,1.274608228E0,2.324009775E0,7.496580702E-1,2.754566171E0
6.859140871E1,6.249896584E-1,1.857525927E0,1.034783508E0,2.216256202E0
6.860137871E1,-2.264545858E-1,8.622005993E-1,9.998814780E-1,1.339565050E0
6.861134871E1,-4.823288158E-1,2.506601948E-1,5.085814619E-1,7.443968855E-1
6.862131871E1,-3.164267163E-1,-1.879727805E-1,-2.685041428E-3,3.680582052E-1
6.863128771E1,-3.511227418E-1,-1.570696610E-1,-5.657596296E-1,6.841359636E-1
6.864125771E1,-3.833350893E-1,-5.106607318E-2,-5.773587513E-1,6.949076646E-1
6.865122771E1,-6.157430908E-1,-1.420276988E-1,-3.572292084E-1,7.258953977E-1
6.866119771E1,-5.337956791E-1,-4.456338465E-1,-3.798678732E-1,7.923553201E-1
6.867116771E1,-6.993445337E-1,-6.445713258E-1,-3.065069515E-1,9.992504601E-1
